city,newcity1,newcountry1
ahmecgarh (india),ahmecgarh,india
ahmedabad (india),ahmedabad,india
ahmedabad-vadodra express highway. gujarat (india),ahmedabadvadodra express highway gujarat,india
ahwahnee,ahwahnee,
ahwatukee,ahwatukee,
ahwatukee-foothills (phoenix),ahwatukeefoothills,
ahwatukee/phoenix/gilbert/chandler,ahwatukeephoenixgilbertchandler,
aiea,aiea,
aiken,aiken,
aiken county (rural),aiken county,rural
ainaro (east timor),ainaro,
ainsworth,ainsworth,
airdrie (canada),airdrie,canada
airmont,airmont,
airway heights,airway heights,
aitkin,aitkin,
aitkins,aitkins,
aizawl&#44 mizoram (india),aizawl44 mizoram,india
ajax (canada),ajax,canada
ajax/toronto (canada),ajaxtoronto,canada
ajijic (mexico),ajijic,mexico
ajman (united arab emirates),ajman,united arab emirates
ajo,ajo,
ajo (and southern arizona),ajo,and southern arizona
akeley,akeley,
akin,akin,
akola (india),akola,india
akron,akron,
akron (ellet),akron,ellet
akron (north of),akron,north of
akumal&#44 quintana roo (mexico),akumal44 quintana roo,mexico
akureyri (iceland),akureyri,iceland
al - jubail (approx. 35 miles sw of) (saudi arabia),al jubail,saudi arabia
al andalus (kuwait),al andalus,kuwait
al asad (near hit) (iraq),al asad,iraq
al warqaa 1 (u.a.r.),al warqaa 1,united arab emirates
al-ain (uae),alain,united arab emirates
alabama,alabama,
alabama (above; in flight),alabama,us
alabama (in-flight @ 35&#44000&#39),alabama,us
alabama (location unspecified),alabama,us
alabama (rural),alabama,us
alabaster,alabaster,
alacanti (spain),alacanti,spain
alachua,alachua,
alachua county,alachua county,
alameda,alameda,
alameda naval air station/marine corp air wing bubble,alameda naval air stationmarine corp air wing bubble,
alamo,alamo,
alamo lake,alamo lake,
alamo lake state park,alamo lake state park,
alamogordo,alamogordo,
alamosa,alamosa,
alamosa (east of&#44 on hwy 160),alamosa,
alamosa (madano pass),alamosa,madano pass
alamosa (west of),alamosa,west of
aland islands (forty miles south of) (finland),aland islands,finland
alanson,alanson,
alantic highlands,alantic highlands,
alappuzha (india),alappuzha,india
alaska (remote),alaska,
alaska cruise (norwegian star),alaska cruise,
alaska??,alaska,
alba iulia (romania),alba iulia,romania
albany,albany,
albany (3 hrs w of: on interstate-90 near exit 44),albany,3 hrs w of on interstate90 near exit 44
albany (about 10 minutes from),albany,
albany (area),albany,area
albany (canada),albany,canada
albany (maybe new york),albany,maybe new york
albany (near),albany,near
albany (western australia),albany,western australia
albany/ colonie,albany colonie,
albany/peacan city,albanypeacan city,
albemarle,albemarle,
albert lake,albert lake,
albert lea,albert lea,
alberta (canada),alberta,canada
alberta (rural) (canada),alberta,canada
alberta rocky mountains (canada),alberta rocky mountains,canada
alberta/3-34-83-8 w6m (well lease #) (canada),alberta334838 w6m,canada
alberton,alberton,
albertville,albertville,
albia,albia,
albion,albion,
albion (rural),albion,rural
albir (spain),albir,spain
albrightsville,albrightsville,
albufeira (portugal),albufeira,portugal
albuquereque,albuquereque,
albuquerque,albuquerque,
albuquerque (20 miles east of),albuquerque,20 miles east of
albuquerque (30-60 miles west of city),albuquerque,3060 miles west of city
albuquerque (manzano mountains),albuquerque,manzano mountains
albuquerque (near),albuquerque,near
albuquerque (outside of),albuquerque,outside of
albuquerque (over&#44 from tent rocks),albuquerque,over44 from tent rocks
albuquerque (southeast),albuquerque,southeast
albuquerque/aiport,albuquerqueaiport,
albuquerque/houston (inflight&#44 halfway b/t),albuquerquehouston,us
alburquerqe (near),alburquerqe,
alburquerque,alburquerque,
alburtis,alburtis,
albury (nsw&#44 australia),albury,nsw44 australia
alcalde,alcalde,
alcochete (portugal),alcochete,portugal
alcova,alcova,
alden,alden,
aldergrove (canada),aldergrove,canada
aldershot (uk/england),aldershot,uk
aledo,aledo,
alejuela (costa rica),alejuela,costa rica
aleksandrow (poland),aleksandrow,poland
alencon (france),alencon,france
aleppo (syria),aleppo,syria
alexander,alexander,
alexandria,alexandria,
alexandria (independent city??),alexandria,independent city
alexanria,alexanria,
alfalfa,alfalfa,
alford (aberdeenshire)(uk/scotland),alford,aberdeenshireuk
alfred,alfred,
alfreton (uk/england),alfreton,uk
algadonis (mexico) to tonopah,algadonis,mexico
algarve (portugal),algarve,portugal
algeciras (spain),algeciras,spain
alger,alger,
algiers,algiers,
algodones,algodones,
algoma,algoma,
algona,algona,
algonac,algonac,
algonquin,algonquin,
algonquin park (canada),algonquin park,canada
algood,algood,
alhambra,alhambra,
alhambra golf course,alhambra golf course,
alice,alice,
alice springs  (nt&#44 australia),alice springs,nt44 australia
alice springs (australia),alice springs,australia
aliceville/carrolton/livingston,alicevillecarroltonlivingston,
aliquippa,aliquippa,
aliso viejo,aliso viejo,
alkmaar (netherlands),alkmaar,netherlands
allahabad (india),allahabad,india
allegan,allegan,
allegany,allegany,
allegany (near),allegany,near
allegheny state park,allegheny state park,
allen,allen,
allen park,allen park,
allendale,allendale,
allendorf,allendorf,
allenhurst,allenhurst,
allenspark,allenspark,
allentown,allentown,
allentown (east side),allentown,east side
allentown (upper macungie twsp),allentown,upper macungie twsp
allenwood,allenwood,
alleouz (near greene isle park&#44 facing bellevue st),alleouz,
allexander valley,allexander valley,
alliance,alliance,
alligator alley,alligator alley,
alligator alley / miami,alligator alley miami,
alligator point,alligator point,
allison,allison,
allison park,allison park,
allison park (hampton twp.),allison park,hampton twp
alliston (canada),alliston,canada
alloa (uk/scotland),alloa,uk
allora (australia),allora,australia
allouez (near greene isle park entrance&#44 facing bellevue st),allouez,near greene isle park entrance44 facing bellevue st
alloway,alloway,
alloy,alloy,
allston,allston,
allyn,allyn,
alma,alma,
alma center,alma center,
alma koa,alma koa,
almaty (kazakstan),almaty,kazakstan
almelo (netherlands),almelo,netherlands
almelo (overijssel) (netherlands),almelo,
almena,almena,
almere (netherlands),almere,netherlands
almeria (spain),almeria,spain
almond,almond,
almont,almont,
almudevar (spain),almudevar,spain
aloha,aloha,
alpena,alpena,
alpena (near),alpena,near
alpha,alpha,
alpharetta,alpharetta,
alpine,alpine,
alpine (highway 395),alpine,highway 395
alpine (near),alpine,near
alsea,alsea,
alsea (above),alsea,above
alsip,alsip,
alstead,alstead,
alston,alston,
alta,alta,
alta loma,alta loma,
altadena,altadena,
altamont,altamont,
altamonte springs,altamonte springs,
altivista,altivista,
altmar,altmar,
alto,alto,
altomont,altomont,
alton,alton,
alton (hampshire) (uk/england),alton,hampshire uk
alton (hampshire)(uk/england),alton,hampshireuk
alton (kendall hill subdivision),alton,kendall hill subdivision
alton (near) (uk/england),alton,near uk
alton bay,alton bay,
alton&#44 hampshire (uk/england),alton44 hampshire,uk
altona meadows (australia),altona meadows,australia
altoona,altoona,
altrincham (uk/england),altrincham,uk
alturas,alturas,
alturas (se of),alturas,se of
altus,altus,
altus (sw of),altus,sw of
altus afb,altus afb,
alva,alva,
alvarado,alvarado,
alvaton,alvaton,
alvin,alvin,
alvordon,alvordon,
amado,amado,
amagansett,amagansett,
amanzimtoti (south africa),amanzimtoti,south africa
amargosa valley,amargosa valley,
amarillo,amarillo,
amarillo (local area and se),amarillo,local area and se
amazon (brazil),amazon,brazil
ambala (india),ambala,india
amber,amber,
ambler,ambler,
amboy,amboy,
amboy wasington,amboy wasington,
ambridge,ambridge,
ambrose,ambrose,
amed,amed,
amelia,amelia,
amenia,amenia,
american canyon,american canyon,
american falls,american falls,
american fork,american fork,
americus,americus,
amersfoort (netherlands),amersfoort,netherlands
amery,amery,
ames,ames,
ames (north of),ames,north of
amesbury,amesbury,
amesbury (past),amesbury,past
amesbury area,amesbury area,
amesville/falls village,amesvillefalls village,
amhearst,amhearst,
amherst,amherst,
amherst (canada),amherst,canada
amherst (near high peak),amherst,near high peak
amherstburg (canada),amherstburg,canada
amherstview (outside kingston) (canada),amherstview,canada
amite,amite,
amity,amity,
amityville,amityville,
amman (jordan),amman,jordan
ammanford (uk/wales),ammanford,uk
ammon,ammon,
amory,amory,
ampoita-alba (romania),ampoitaalba,romania
amstelveen (netherlands),amstelveen,netherlands
amsterdam,amsterdam,
amsterdam (west of),amsterdam,west of
amston (hebron),amston,hebron
anacoco,anacoco,
anaconda,anaconda,
anacortes,anacortes,
anaeta,anaeta,
anaheim,anaheim,
anaheim - brea - diamond bar,anaheim brea diamond bar,
anaheim hills,anaheim hills,
anaheim hills/yorba linda/imperial blvd close to 91 freeway,anaheim hillsyorba lindaimperial blvd close to 91 freeway,
anaheim hll,anaheim hll,
anahiem,anahiem,
anahola,anahola,
anahuac,anahuac,
anamosa,anamosa,
anamosa/cedar rapids (between),anamosacedar rapids,
ancaster (canada),ancaster,canada
anchor point,anchor point,
anchorage,anchorage,
anchorage/girdwood,anchoragegirdwood,
anchorville,anchorville,
anderslov (sweden),anderslov,sweden
anderson,anderson,
anderson/redding,andersonredding,
andes,andes,
andover,andover,
andover (uk/england),andover,uk
andover&#44 hants (uk/england),andover44 hants,uk
andrade,andrade,
andreas,andreas,
andrews,andrews,
andrews afb,andrews afb,
andros island (bahamas),andros island,bahamas
anegada (the settlement) (british virgin islands),anegada,
anehiem,anehiem,
aneta (by/near),aneta,by
angel fire,angel fire,
angeles city (philippines),angeles city,philippines
angeles crest,angeles crest,
angeles crest forest,angeles crest forest,
angeles crest hwy,angeles crest hwy,
angeles national forest area,angeles national forest area,
angelica,angelica,
angels camp,angels camp,
angels camp/lake new melones,angels camplake new melones,
angelus oaks,angelus oaks,
angier,angier,
anglemont (canada),anglemont,canada
angleton,angleton,
angleton &amp; pearland (between),angleton amp pearland,
angleton (5 miles north),angleton,5 miles north
angola,angola,
angoon,angoon,
angus (canada),angus,canada
angwin,angwin,
anhem (netherland),anhem,netherland
anjean,anjean,
ankara (turkey),ankara,turkey
ankeny,ankeny,
ann arbor,ann arbor,
ann arbor/saline,ann arborsaline,
ann arbor/ypsilanti,ann arborypsilanti,
anna,anna,
anna maria island,anna maria island,
anna paulowna (netherlands),anna paulowna,netherlands
annalong (uk/england),annalong,uk
annandale,annandale,
annapolis,annapolis,
annapolis basin (canada),annapolis basin,canada
annapolis valley (canada),annapolis valley,canada
annapolis/severna park,annapolisseverna park,
annecy (france),annecy,france
anneville,anneville,
anniston,anniston,
anniston (ft. mcclellan u.s. army base),anniston,ft mcclellan us army base
annville,annville,
anoka,anoka,
anola (canada),anola,canada
ansbach (germany),ansbach,germany
ansel adams wilderness,ansel adams wilderness,
anson,anson,
anson (just east of&#44 on hwy 180),anson,
ansonia,ansonia,
ansted,ansted,
antalya (turkey),antalya,turkey
antarctica (ross ice shelf) (antarctica),antarctica,ross ice shelf antarctica
antelope,antelope,
antelope acres,antelope acres,
anthem,anthem,
anthony,anthony,
antibes (france),antibes,france
antigo,antigo,
antioch,antioch,
antler lake (canada),antler lake,canada
antonito (30 miles east of my location),antonito,30 miles east of my location
antwep,antwep,
antwerp,antwerp,
anza,anza,
anza and garner valley (near),anza and garner valley,
anza borrego,anza borrego,
anza borrego desert,anza borrego desert,
anza borrego state park,anza borrego state park,
aokville (canada),aokville,canada
aomori (japan),aomori,japan
apache junction,apache junction,
apache junction (east of),apache junction,east of
apache junction (southeast of),apache junction,southeast of
apache lake,apache lake,
apalachicola,apalachicola,
apalachin,apalachin,
apeldoorn (netherlands),apeldoorn,netherlands
apex,apex,
apex (n 35 41 25 w 78 45 01),apex,
apex/cary,apexcary,
apex/holly springs (between),apexholly springs,
apison,apison,
apodaca&#44 nuevo leon (mexico),apodaca44 nuevo leon,mexico
apollo,apollo,
apollo beach,apollo beach,
apopka,apopka,
apopka (orlando),apopka,orlando
appalachia,appalachia,
appelton,appelton,
applachian mountains,applachian mountains,
apple river,apple river,
apple valley,apple valley,
apple valley (above),apple valley,above
apple valley (panoche road),apple valley,panoche road
apple valley/lakeville/burnsville,apple valleylakevilleburnsville,
applegate,applegate,
appleton,appleton,
appleton (near),appleton,near
appling,appling,
aptos,aptos,
aqaba (jordan),aqaba,jordan
aquaduct (near&#44 over desert&#44 before entering california),aquaduct,us
aquebogue,aquebogue,
aquilla,aquilla,
aquinnah,aquinnah,
arab,arab,
arabela (near roswell),arabela,near roswell
arabi,arabi,
arabi/chalmette,arabichalmette,
aransas pass,aransas pass,
arapahoe,arapahoe,
ararat,ararat,
arbroath (uk/scotland),arbroath,uk
arbuckle,arbuckle,
arbuckle/college city (between),arbucklecollege city,
arbutus,arbutus,
arcade,arcade,
arcadia,arcadia,
arcadia (outskirts of),arcadia,outskirts of
arcanum,arcanum,
arcata,arcata,
archdale,archdale,
archer city,archer city,
arches national park,arches national park,
arco,arco,
arcola,arcola,
arden,arden,
ardenvoir,ardenvoir,
ardmore,ardmore,
ardmore (near),ardmore,near
ardrossan (canada),ardrossan,canada
ardsley,ardsley,
area 51,area 51,
area 51 (general area; in flight),area 51,
area 51 (west of),area 51,us
area 51 and mercury,area 51 and mercury,
arecibo (just s of&#44 rural central pr),arecibo,just s of44 rural central pr
arenzville,arenzville,
arequipa (peru),arequipa,peru
argenta,argenta,
argos,argos,
argostoli (greece),argostoli,greece
argyle,argyle,
arima (trinidad),arima,trinidad
aripeka,aripeka,
arivaca,arivaca,
arizona,arizona,
arizona (about 3 hours from&#44 on i-15),arizona,
arizona (above; in-flight),arizona,us
arizona (desert; on route 66),arizona,
arizona (in-flight),arizona,
arizona (northern location),arizona,
arizona (northern),arizona,
arizona (rural),arizona,
arizona (rural; buck eye salome rd.),arizona,
arizona (southern; on highway),arizona,
arizona (western; hwy 40),arizona,us
arizona city,arizona city,
arizona or colorano (inflight sighting),arizona or colorano,
arizona/californa border,arizonacaliforna border,
arizona/california border,arizonacalifornia border,
arkadelphia,arkadelphia,
arkansas (above?; in-flight),arkansas,us
arkansas (eastern; on us hwy 70 abt 75 m w/o memphis&#44 tn),arkansas,us
arkansas (location unknown),arkansas,
arkansas (ne part&#44 us rt 67),arkansas,us
arkansas (ne part; location uncertain),arkansas,
arkansas (northeast tip of),arkansas,
arkansas (rural),arkansas,
arkansas (while driving),arkansas,us
arkansas city,arkansas city,
arkansas/oklahoma (border),arkansasoklahoma,
arkdale,arkdale,
arkport,arkport,
arlee,arlee,
arlen,arlen,
arleta,arleta,
arley,arley,
arlington,arlington,
arlington (3-4 miles east of),arlington,34 miles east of
arlington (viewing from),arlington,viewing from
arlington heights,arlington heights,
arlington/dallas,arlingtondallas,
arluno (milano),arluno,
armada,armada,
armadale (australia),armadale,australia
armadale (western australia),armadale,western australia
armidale (australi),armidale,australia
armidale (australia),armidale,australia
armona,armona,
armonk,armonk,
armstrong (canada),armstrong,canada
arnheim,arnheim,
arnhem (netherlands),arnhem,netherlands
arnold,arnold,
arnolds park,arnolds park,
arnprior (canada),arnprior,canada
arnstein (canada),arnstein,canada
aroostook (canada),aroostook,canada
arouca (trinidad/tobago),arouca,trinidad
arrayo grande,arrayo grande,
arroy seco,arroy seco,
arroyo (puerto rico),arroyo,puerto rico
arroyo grande,arroyo grande,
arroyo seco,arroyo seco,
artesia,artesia,
arthur,arthur,
aruba,aruba,
aruba (caribbean),aruba,
arundel (uk/england),arundel,uk
arvada,arvada,
arvana-lamesa,arvanalamesa,
asbury,asbury,
asbury community,asbury community,
asbury park,asbury park,
asdod (israel),asdod,israel
ash,ash,
ash springs (near),ash springs,near
ashaway,ashaway,
ashburn,ashburn,
ashburnham,ashburnham,
ashburton (uk/england),ashburton,uk
ashby,ashby,
ashcroft (canada),ashcroft,canada
ashdown,ashdown,
ashe fork,ashe fork,
asheboro,asheboro,
asheville,asheville,
asheville (near),asheville,near
asheville/johnson city (between&#44 i-26),ashevillejohnson city,
ashfield,ashfield,
ashford,ashford,
ashford (uk/england),ashford,uk
ashford hollow,ashford hollow,
ashgrove,ashgrove,
ashkelon (israel),ashkelon,israel
ashland,ashland,
ashland (just outside of),ashland,just outside of
ashland (outside douglas co.),ashland,outside douglas co
ashland (right over highway 63),ashland,right over highway 63
ashland (west of; hanover county),ashland,west of hanover county
ashland city,ashland city,
ashley,ashley,
ashnurn,ashnurn,
ashtabula,ashtabula,
ashtabula (saybrook twnshp.),ashtabula,saybrook twnshp
ashton,ashton,
ashville,ashville,
ashville (2 miles south of),ashville,2 miles south of
ashville (5 miles south of),ashville,5 miles south of
ask not to give this out.,ask not to give this out,
asker (norway),asker,norway
asotin,asotin,
aspen,aspen,
aspen (~2 hrs. w of; driving),aspen,2 hrs w of driving
aspermont,aspermont,
aspers,aspers,
assafora (portugal),assafora,portugal
assateague island,assateague island,
assen (netherlands),assen,netherlands
assenovgrad (bulgaria),assenovgrad,bulgaria
asseteague island state park,asseteague island state park,
assouan (egypt),assouan,egypt
aston,aston,
astoria,astoria,
astoria (outside of),astoria,outside of
asuncion (paraguay),asuncion,paraguay
aswan (egypt),aswan,egypt
at taif (saudi arabia),at taif,saudi arabia
atascadero,atascadero,
atascadero (101 freeway),atascadero,
atascocita,atascocita,
atascosa,atascosa,
atascosita,atascosita,
atchafalaya,atchafalaya,
atco,atco,
atenas (costa rica),atenas,costa rica
atglen,atglen,
ath,ath,
athabasca (canada),athabasca,canada
athelstine,athelstine,
athena,athena,
athens,athens,
athens (hwy 72 w),athens,hwy 72 w
athens (near),athens,near
athens-east limestone,athenseast limestone,
atherstone (uk/england),atherstone,uk
athol,athol,
atibaia (brazil),atibaia,brazil
atikokan (canada),atikokan,canada
atkins,atkins,
atkinson,atkinson,
atkinson (6 miles north of),atkinson,6 miles north of
atkinson (near),atkinson,near
atlanta,atlanta,
atlanta (after takeoff; in flight),atlanta,after takeoff in flight
atlanta (dunwoody),atlanta,dunwoody
atlanta (e of&#44 near the la border),atlanta,e of44 near the la border
atlanta (going northwest toward&#44 highway 316),atlanta,
atlanta (however&#44 i have heard entire east coast),atlanta,however44 i have heard entire east coast
atlanta (north of&#44 highway 85),atlanta,north of44 highway 85
atlanta (north of),atlanta,north of
atlanta (south side of&#44 forest park),atlanta,south side of44 forest park
atlanta/dobbs afb,atlantadobbs afb,
atlantic,atlantic,
atlantic and audubon,atlantic and audubon,
atlantic beach,atlantic beach,
atlantic city,atlantic city,
atlantic city area  (north or northeast of hammonton),atlantic city area,
atlantic city/cardiff,atlantic citycardiff,
atlantic coast (at sea on cruise ship) (canada),atlantic coast,canada
atlantic highlands,atlantic highlands,
atlantic ocean,atlantic ocean,
atlantic ocean (around bermuda/cariibbean),atlantic ocean,bermuda
atlantic ocean (at sea),atlantic ocean,
atlantic ocean (bermuda),atlantic ocean,bermuda
atlantic ocean (between nassau&#44 bahamas&#44 and florida),atlantic ocean,us
atlantic ocean (between san juan and u.s. virgin isl.),atlantic ocean,
atlantic ocean (brazil),atlantic ocean,brazil
atlantic ocean (canada),atlantic ocean,canada
atlantic ocean (canada/iceland&#44 midway between),atlantic ocean,canada
atlantic ocean (cv-67 u.s.navy),atlantic ocean,
atlantic ocean (in flight),atlantic ocean,
atlantic ocean (inflight),atlantic ocean,
atlantic ocean (mid-atlantic),atlantic ocean,
atlantic ocean (middle),atlantic ocean,
atlantic ocean (nc/250+nm off the coast),atlantic ocean,
atlantic ocean (off africa),atlantic ocean,
atlantic ocean (on cruise ship),atlantic ocean,
atlantic ocean (troopship/ uss rose),atlantic ocean,
atlantic ocean (unknown),atlantic ocean,
atlantic ocean (virgin islands),atlantic ocean,virgin islands
atlantic ocean/caribbean sea,atlantic oceancaribbean sea,
atmore,atmore,
atolicita hills,atolicita hills,
attalla,attalla,
attalla/gadsden,attallagadsden,
attawapiskat (canada),attawapiskat,canada
attica,attica,
attleboro,attleboro,
atwater,atwater,
atwater village,atwater village,
atwell,atwell,
atwood,atwood,
au sable forks,au sable forks,
auanga,auanga,
aubange (belgium),aubange,belgium
auberry,auberry,
aubrey,aubrey,
aubrey/frisco,aubreyfrisco,
auburn,auburn,
auburn (heading n on hwy 167),auburn,
auburn and westboro,auburn and westboro,
auburn hills,auburn hills,
auburn lake park,auburn lake park,
auburn/federal way,auburnfederal way,
auburn/lewiston,auburnlewiston,
auburn/montgomery (between),auburnmontgomery,
auburn/renton/bellevue,auburnrentonbellevue,
auburn/skaneateles (between),auburnskaneateles,
auburndale,auburndale,
auckland (new zealand),auckland,new zealand
audubon,audubon,
augadillla (puerto rico),augadillla,puerto rico
aughnacloy (northern ireland),aughnacloy,ireland
augusta,augusta,
augusta (ft. gordon),augusta,ft gordon
augusta springs,augusta springs,
auke bay,auke bay,
aulander,aulander,
aurangabad.maharashtra (india),aurangabadmaharashtra,india
aurburn,aurburn,
aurburn (canada),aurburn,canada
auriol/provence (france),auriolprovence,france
auror,auror,
aurora,aurora,
aurora (canada),aurora,canada
aurora (outside),aurora,outside
aurora siderd  (hwy. 400) (canada),aurora siderd,canada
aurora/woodburn,aurorawoodburn,
ausable forks,ausable forks,
austell,austell,
austin,austin,
austin (area),austin,area
austin (lake travis),austin,lake travis
austin (near),austin,near
austin (round rock),austin,round rock
austin (rural),austin,rural
austin/eureka (between&#44 hwy. 50),austineureka,
austin/eureka (between&#44 u.s.hiway 50),austineureka,
austin/eureka (near&#44 on us hiway 50),austineureka,
austin/florence,austinflorence,
austin/rochester (between),austinrochester,
austin/san marcos,austinsan marcos,
austintown,austintown,
australia,australia,
australia (northeast),australia,
australia (rural),australia,
australian outback,australian outback,
auteuil (canada),auteuil,canada
auxvasse,auxvasse,
avalon,avalon,
avebury,avebury,
aveiro (portugal),aveiro,portugal
avenal,avenal,
aventura,aventura,
avenue city,avenue city,
averill park,averill park,
avery,avery,
aviano (italy),aviano,italy
avila beach,avila beach,
avila beach (diablo canyon nucular power plant),avila beach,diablo canyon nucular power plant
avilla,avilla,
avilton (frostburg),avilton,frostburg
avinger,avinger,
avinger (lake o&#39 the pines),avinger,lake o39 the pines
avinger (lake o&#39 the pinext),avinger,lake o39 the pinext
aviston,aviston,
avnol (near),avnol,
avoca,avoca,
avoch (uk/scotland),avoch,uk
avoco,avoco,
avon,avon,
avon (outer banks),avon,outer banks
avon lake,avon lake,
avon park,avon park,
avon park (n of&#44 to as far s of l. placid),avon park,n of44 to as far s of l placid
avon-by-the-sea,avonbythesea,
avon/brodhead,avonbrodhead,
avon/rushford,avonrushford,
avondale,avondale,
avra valley,avra valley,
awatukee,awatukee,
axminister (uk/england),axminister,uk
ayden,ayden,
aydin (turkey),aydin,turkey
ayer,ayer,
aylesbury (uk/england),aylesbury,uk
aylett,aylett,
aylmer (canada),aylmer,canada
aylmer gatineau (canada),aylmer gatineau,canada
aynor,aynor,
ayr (uk/scotland),ayr,uk
ayrshire (uk/scotland),ayrshire,uk
azle,azle,
aztalan state park,aztalan state park,
aztec,aztec,
aztec/farmington,aztecfarmington,
azua (dominican republic),azua,dominican republic
azucena,azucena,
azusa,azusa,
azusa canyon (?),azusa canyon,
azwell,azwell,
b-52; inflight,b52 inflight,
baadon,baadon,
babbitt,babbitt,
babenhausen (germany),babenhausen,germany
bablyon,bablyon,
babson park,babson park,
babylon,babylon,
baca grande,baca grande,
backus,backus,
bacolod (philippines),bacolod,philippines
bacolod city (occidental province) (philippines),bacolod city,occidental province philippines
baconton,baconton,
bad axe,bad axe,
bad pyrmont (germany),bad pyrmont,germany
baden,baden,
badger (s. of; n. of fort dodge),badger,s of n of fort dodge
badlands,badlands,
bagdad,bagdad,
baggs,baggs,
baghdad,baghdad,
baghdad (iraq),baghdad,iraq
bagheria (italy),bagheria,italy
bagley,bagley,
bagshot  surrey (uk/england),bagshot surrey,uk
bagsv&aelig;rd (denmark),bagsvaeligrd,denmark
baguio (philippines),baguio,philippines
bahamas,bahamas,
bahia de los angeles (baja california) (mexico),bahia de los angeles,mexico
bahia de los angeles (baja&#44 mexico),bahia de los angeles,mexico
baie d&#39urfe (canada),baie d39urfe,canada
baie-comeau (85 km n of) (canada),baiecomeau,85 km n of canada
baildon (uk/england),baildon,uk
bailey,bailey,
bailey island,bailey island,
bailey&#39s harbor,bailey39s harbor,
bailey/fairplay (between&#44 off hy 285),baileyfairplay,
baileys cross roads (just outside wash dc),baileys cross roads,
baileys harbor,baileys harbor,
baileyton,baileyton,
bainbridge,bainbridge,
bainbridge island,bainbridge island,
bainbridge/ port deposit,bainbridge port deposit,
baird,baird,
baird/putnam on i-20,bairdputnam on i20,
